 2022-11-06T11:17:25.357Z INFO  dtnd > starting dtnd
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Local Node ID: dtn://n1/
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Work Dir: "/home/thomas/thesis/monntpy-lab/profile"
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > DB Backend: mem
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Announcement Interval: 2s
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Janitor Interval: 10s
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Peer Timeout: 20s
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Web Port: 3000
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > IPv4: true
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > IPv6: false
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Generate Status Reports: false
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > RoutingAgent: epidemic
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > RoutingOptions: {}
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Adding CLA: MtcpConvergenceLayer
 2022-11-06T11:17:25.526Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645525-0
 2022-11-06T11:17:25.528Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645527-0
 2022-11-06T11:17:25.528Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645527-0
 2022-11-06T11:17:25.528Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645527-0
 2022-11-06T11:17:25.528Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645527-0
 2022-11-06T11:17:25.528Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645527-0
 2022-11-06T11:17:25.530Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645529-0
 2022-11-06T11:17:25.530Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645529-0
 2022-11-06T11:17:25.530Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645529-0
 2022-11-06T11:17:25.530Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645529-0
 2022-11-06T11:17:25.530Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645529-0
 2022-11-06T11:18:52.909Z INFO  dtn7::core                      > Registered new application agent for EID: dtn://monntpy.dev/~news
 2022-11-06T11:18:52.911Z INFO  dtn7::core                      > Registered new application agent for EID: dtn://monntpy.offtopic/~news
 2022-11-06T11:18:52.913Z INFO  dtn7::core                      > Registered new application agent for EID: dtn://monntpy.users.jlu-giessen/~news
 2022-11-06T11:18:52.915Z INFO  dtn7::core                      > Registered new application agent for EID: dtn://monntpy.users.uni-frankfurt/~news
 2022-11-06T11:18:52.917Z INFO  dtn7::core                      > Application agent already registered for EID: dtn://monntpy.eval/~news
 2022-11-06T11:18:52.919Z INFO  dtn7::core                      > Registered new application agent for EID: dtn://monntpy.users.tu-darmstadt/~news
 2022-11-06T11:18:52.921Z INFO  dtn7::core                      > Application agent already registered for EID: dtn://n1/mail/tu-darmstadt.de/monntpy
